order_date,total_orders
19-11-2015,67
19-12-2015,59
20-01-2015,64
20-02-2015,73
20-03-2015,66
20-04-2015,70
20-05-2015,64
20-06-2015,48
20-07-2015,59
20-08-2015,55
20-09-2015,48
20-10-2015,63
20-11-2015,65
20-12-2015,53
21-01-2015,51
21-02-2015,56
21-03-2015,56
21-04-2015,62
21-05-2015,58
21-06-2015,51
21-07-2015,55
21-08-2015,69
21-09-2015,57
21-10-2015,56
21-11-2015,61
21-12-2015,55
22-01-2015,68
22-02-2015,37
22-03-2015,37
22-04-2015,59
22-05-2015,71
22-06-2015,55
22-07-2015,65
22-08-2015,60
22-09-2015,54
22-10-2015,57
22-11-2015,43
22-12-2015,58
23-01-2015,69
23-02-2015,54
23-03-2015,61
23-04-2015,57
23-05-2015,59
23-06-2015,59
23-07-2015,65
23-08-2015,48
23-09-2015,60
23-10-2015,72
23-11-2015,56
23-12-2015,56
24-01-2015,63
24-02-2015,58
24-03-2015,60
24-04-2015,71
24-05-2015,59
24-06-2015,62
24-07-2015,75
24-08-2015,54
24-10-2015,59
24-11-2015,52
24-12-2015,56
25-01-2015,44
25-02-2015,63
25-03-2015,56
25-04-2015,62
25-05-2015,56
25-06-2015,60
25-07-2015,57
25-08-2015,53
25-10-2015,45
25-11-2015,61
26-01-2015,55
26-02-2015,55
26-03-2015,65
26-04-2015,56
26-05-2015,48
26-06-2015,64
26-07-2015,57
26-08-2015,59
26-09-2015,56
26-11-2015,113
26-12-2015,38
27-01-2015,66
27-02-2015,71
27-03-2015,71
27-04-2015,67
27-05-2015,55
27-06-2015,71
27-07-2015,53
27-08-2015,59
27-09-2015,61
27-10-2015,62
27-11-2015,115
27-12-2015,35
28-01-2015,51
28-02-2015,59
28-03-2015,60
28-04-2015,48
28-05-2015,54
28-06-2015,45
28-07-2015,60
28-08-2015,68
28-09-2015,53
28-10-2015,63
28-11-2015,48
28-12-2015,39
29-01-2015,58
29-03-2015,54
29-04-2015,53
29-05-2015,68
29-06-2015,53
29-07-2015,49
29-08-2015,60
29-09-2015,60
29-10-2015,59
29-11-2015,46
29-12-2015,27
30-01-2015,65
30-03-2015,62
30-04-2015,63
30-05-2015,59
30-06-2015,53
30-07-2015,67
30-08-2015,41
30-09-2015,62
30-10-2015,63
30-11-2015,60
30-12-2015,32
31-01-2015,54
31-03-2015,62
31-05-2015,50
31-07-2015,68
31-08-2015,57
31-10-2015,69
31-12-2015,73
