orderNumber,orderDate,customerNumber,productCode,quantityOrdered,priceEach,sales
58,2019-01-20,43,P10,10,372.76,3727.6
59,2019-01-10,4,P11,2,399.39,798.78
60,2019-01-18,38,P4,6,58.25,349.5
61,2019-01-26,36,P12,7,386.76,2707.32
62,2019-01-21,8,P11,4,92.95,371.8
63,2019-01-12,9,P8,4,318.2,1272.8
64,2019-01-22,40,P15,3,77.86,233.58
65,2019-01-14,17,P1,4,218.28,873.12
66,2019-01-05,47,P5,5,395.12,1975.6
67,2019-01-01,26,P10,8,492.14,3937.12
68,2019-01-08,6,P3,2,84.3,168.6
69,2019-01-30,30,P20,10,391.85,3918.5
70,2019-01-05,8,P19,9,486.9,4382.1
71,2019-01-27,10,P1,7,96.41,674.87
72,2019-01-03,16,P6,5,131.94,659.7
73,2019-01-09,33,P4,2,72.99,145.98
74,2019-01-19,46,P14,1,497.94,497.94
75,2019-01-15,46,P9,7,365.07,2555.49
76,2019-01-11,16,P2,7,489.1,3423.7
77,2019-01-18,35,P3,4,269.22,1076.88
78,2019-01-28,12,P13,2,266.88,533.76
79,2019-01-24,24,P16,1,493.01,493.01
80,2019-01-01,50,P18,5,361.92,1809.6
81,2019-01-17,47,P6,2,129.5,259.0
82,2019-01-21,21,P13,6,214.8,1288.8
83,2019-01-26,36,P19,5,93.65,468.25
84,2019-01-27,36,P9,9,257.55,2317.95
85,2019-01-26,50,P4,2,331.73,663.46
86,2019-01-26,13,P10,3,394.48,1183.44
87,2019-01-18,45,P4,6,454.77,2728.62
88,2019-01-23,49,P18,7,169.97,1189.79
89,2019-01-31,38,P15,8,154.59,1236.72
90,2019-01-25,38,P7,5,108.66,543.3
91,2019-01-08,33,P17,8,83.96,671.68
92,2019-01-22,14,P11,9,425.23,3827.07
93,2019-01-03,16,P4,2,120.54,241.08
94,2019-01-25,26,P14,9,91.58,824.22
95,2019-01-17,43,P16,1,417.87,417.87
96,2019-01-19,32,P8,5,123.02,615.1
97,2019-01-07,14,P14,1,183.19,183.19
98,2019-01-03,4,P7,3,154.64,463.92
99,2019-01-14,22,P16,2,56.68,113.36
100,2019-01-26,20,P9,6,225.04,1350.24
101,2019-01-08,18,P10,1,184.25,184.25
102,2019-01-22,45,P8,2,69.99,139.98
103,2019-01-28,34,P16,5,108.14,540.7
104,2019-01-03,4,P2,5,297.51,1487.55
105,2019-01-15,7,P8,1,104.7,104.7
106,2019-01-02,18,P3,1,189.93,189.93
107,2019-01-07,47,P13,5,85.42,427.1
108,2019-01-04,8,P4,3,374.28,1122.84
109,2019-01-01,33,P12,3,429.26,1287.78
110,2019-01-12,18,P20,7,106.14,742.98
111,2019-01-31,2,P1,2,101.45,202.9
112,2019-01-26,4,P9,4,358.24,1432.96
113,2019-01-20,10,P11,2,80.36,160.72
114,2019-01-08,50,P5,2,187.29,374.58
115,2019-01-27,10,P10,7,53.14,371.98
116,2019-01-28,45,P1,2,411.91,823.82
117,2019-01-18,29,P9,6,437.74,2626.44
118,2019-01-31,2,P17,3,400.35,1201.05
119,2019-01-17,10,P10,1,167.76,167.76
120,2019-01-14,44,P13,5,55.27,276.35
121,2019-01-12,20,P8,8,97.41,779.28
122,2019-01-01,7,P15,6,225.17,1351.02
123,2019-01-20,17,P12,5,314.15,1570.75
124,2019-01-18,39,P11,5,56.28,281.4
125,2019-01-26,27,P16,2,310.24,620.48
126,2019-01-24,50,P17,3,485.02,1455.06
127,2019-01-05,49,P9,2,487.2,974.4
128,2019-01-22,4,P18,4,436.94,1747.76
129,2019-01-03,47,P15,6,129.52,777.12
130,2019-01-19,29,P3,9,148.1,1332.9
131,2019-01-19,24,P4,4,96.06,384.24
132,2019-01-13,3,P17,3,76.44,229.32
133,2019-01-25,47,P20,7,458.46,3209.22
134,2019-01-22,16,P15,9,326.05,2934.45
135,2019-01-02,27,P9,6,144.6,867.6
136,2019-01-11,47,P3,3,148.83,446.49
137,2019-01-31,13,P18,6,435.29,2611.74
138,2019-01-04,1,P13,3,273.98,821.94
139,2019-01-20,30,P1,2,242.78,485.56
140,2019-01-13,37,P6,1,393.36,393.36
141,2019-01-26,14,P8,9,270.78,2437.02
142,2019-01-16,24,P19,7,163.1,1141.7
143,2019-01-12,31,P14,1,384.75,384.75
144,2019-01-12,28,P16,6,57.22,343.32
145,2019-01-29,45,P17,5,346.7,1733.5
146,2019-01-29,14,P19,2,168.59,337.18
147,2019-01-01,15,P18,10,169.4,1694.0
148,2019-01-11,18,P13,9,85.56,770.04
149,2019-01-09,9,P4,8,181.63,1453.04
150,2019-01-26,31,P18,10,193.72,1937.2
151,2019-01-02,30,P19,2,163.87,327.74
152,2019-01-21,25,P17,10,385.11,3851.1
153,2019-01-28,2,P6,5,452.12,2260.6
154,2019-01-22,37,P13,3,81.72,245.16
155,2019-01-31,38,P14,2,218.97,437.94
156,2019-01-12,40,P15,3,137.88,413.64
157,2019-01-10,5,P19,4,364.82,1459.28
158,2019-01-28,27,P18,1,72.39,72.39
159,2019-01-04,23,P6,1,125.22,125.22
160,2019-01-21,25,P15,2,92.85,185.7
161,2019-01-08,21,P13,3,269.2,807.6
162,2019-01-15,12,P3,5,77.82,389.1
163,2019-01-29,30,P12,3,191.32,573.96
164,2019-01-09,14,P14,3,101.82,305.46
165,2019-01-04,29,P7,2,210.86,421.72
166,2019-01-11,43,P4,9,142.33,1280.97
167,2019-01-03,8,P9,5,165.99,829.95
168,2019-01-22,5,P7,8,483.56,3868.48
169,2019-01-18,23,P8,3,359.94,1079.82
170,2019-01-26,2,P9,7,403.41,2823.87
171,2019-01-14,31,P8,10,328.48,3284.8
172,2019-01-02,33,P20,2,419.85,839.7
173,2019-01-29,25,P9,7,133.84,936.88
174,2019-01-05,39,P16,6,150.26,901.56
175,2019-01-29,29,P20,10,428.25,4282.5
176,2019-01-31,4,P14,7,406.67,2846.69
177,2019-01-29,30,P1,7,57.6,403.2
178,2019-01-27,9,P4,7,111.55,780.85
179,2019-01-26,21,P10,8,352.21,2817.68
180,2019-01-22,22,P12,2,384.53,769.06
181,2019-01-22,21,P19,10,351.72,3517.2
182,2019-01-14,40,P15,9,464.51,4180.59
183,2019-01-14,30,P17,10,417.08,4170.8
184,2019-01-13,29,P3,10,487.49,4874.9
185,2019-01-21,40,P4,3,493.23,1479.69
186,2019-01-17,41,P14,7,56.1,392.7
187,2019-01-11,12,P13,8,459.7,3677.6
188,2019-01-13,13,P2,4,86.85,347.4
189,2019-01-18,19,P8,4,183.72,734.88
190,2019-01-31,22,P17,4,265.95,1063.8
191,2019-01-19,41,P14,1,264.98,264.98
192,2019-01-23,33,P20,5,217.07,1085.35
193,2019-01-21,38,P10,8,101.44,811.52
194,2019-01-28,34,P12,8,60.16,481.28
195,2019-01-16,9,P18,7,457.19,3200.33
196,2019-01-28,20,P17,8,397.95,3183.6
197,2019-01-16,34,P17,9,493.48,4441.32
198,2019-01-13,11,P14,8,203.65,1629.2
199,2019-01-25,17,P7,9,331.45,2983.05
200,2019-01-14,25,P12,5,268.15,1340.75
